kode,species,cluster
2017-01-13_106754,P.glauca,4
2017-01-14_106754,P.glauca,4
2017-01-18_106754,P.glauca,4
2017-01-20_106754,P.glauca,4
2017-01-21_106754,P.glauca,5
2017-01-23_106754,P.glauca,4
2017-01-24_106754,P.glauca,4
2017-01-25_106754,P.glauca,4
2017-01-26_106754,P.glauca,4
2017-01-29_106754,P.glauca,4
2017-01-30_106754,P.glauca,4
2017-01-31_106754,P.glauca,4
2017-01-02_133016,P.glauca,2
2017-01-10_133016,P.glauca,3
2017-01-15_133016,P.glauca,4
2017-01-21_133016,P.glauca,2
2017-01-01_133017,P.glauca,2
2017-01-03_133017,P.glauca,4
2017-01-06_133017,P.glauca,4
2017-01-07_133017,P.glauca,4
2017-01-08_133017,P.glauca,4
2017-01-13_133017,P.glauca,4
2017-01-19_133017,P.glauca,4
2017-01-06_141255,P.glauca,1
2017-01-07_141255,P.glauca,1
2017-01-09_141255,P.glauca,1
2017-01-11_141255,P.glauca,1
2017-01-13_141255,P.glauca,1
2017-01-14_141255,P.glauca,1
2017-01-18_141255,P.glauca,5
2017-01-02_141258,P.glauca,5
2017-01-05_141258,P.glauca,5
2017-01-08_141258,P.glauca,5
2017-01-12_141258,P.glauca,2
2017-01-27_141258,P.glauca,5
2017-01-29_141258,P.glauca,5
2017-01-02_163097,P.glauca,5
2017-01-06_163097,P.glauca,5
2017-01-08_163097,P.glauca,1
2017-01-09_163097,P.glauca,1
2017-01-10_163097,P.glauca,1
2017-01-11_163097,P.glauca,1
2017-01-13_163097,P.glauca,2
2017-01-14_163097,P.glauca,4
2017-01-15_163097,P.glauca,5
2017-01-17_163097,P.glauca,5
2017-01-20_163097,P.glauca,5
2017-01-21_163097,P.glauca,1
2017-01-22_163097,P.glauca,5
2017-01-25_163097,P.glauca,1
2017-01-26_163097,P.glauca,3
2017-01-29_163097,P.glauca,1
2017-01-31_163097,P.glauca,5
2017-02-01_106754,P.glauca,4
2017-02-04_106754,P.glauca,4
2017-02-05_106754,P.glauca,4
2017-02-06_106754,P.glauca,4
2017-02-08_106754,P.glauca,4
2017-02-09_106754,P.glauca,4
2017-02-11_106754,P.glauca,4
2017-02-13_106754,P.glauca,4
2017-02-14_106754,P.glauca,4
2017-02-15_106754,P.glauca,4
2017-02-16_106754,P.glauca,4
2017-02-17_106754,P.glauca,4
2017-02-19_106754,P.glauca,4
2017-02-21_106754,P.glauca,4
2017-02-22_106754,P.glauca,3
2017-02-23_106754,P.glauca,2
2017-02-27_106754,P.glauca,4
2017-02-28_106754,P.glauca,4
2017-02-15_133016,P.glauca,4
2017-02-16_133016,P.glauca,4
2017-02-03_133017,P.glauca,2
2017-02-05_133017,P.glauca,2
2017-02-06_133017,P.glauca,4
2017-02-07_133017,P.glauca,4
2017-02-08_133017,P.glauca,2
2017-02-11_133017,P.glauca,2
2017-02-12_133017,P.glauca,2
2017-02-13_133017,P.glauca,3
2017-02-05_141255,P.glauca,1
2017-02-08_141255,P.glauca,1
2017-02-10_141255,P.glauca,1
2017-02-11_141255,P.glauca,1
2017-02-16_141255,P.glauca,1
2017-02-19_141255,P.glauca,1
2017-02-21_141255,P.glauca,1
2017-02-03_141258,P.glauca,5
2017-02-05_141258,P.glauca,2
2017-02-06_141258,P.glauca,1
2017-02-07_141258,P.glauca,5
2017-02-10_141258,P.glauca,5
2017-02-12_141258,P.glauca,2
2017-02-14_141258,P.glauca,2
2017-02-01_163097,P.glauca,1
2017-02-05_163097,P.glauca,5
2017-02-06_163097,P.glauca,5
2017-02-07_163097,P.glauca,1
2017-02-11_163097,P.glauca,5
2017-02-12_163097,P.glauca,1
2017-02-13_163097,P.glauca,3
2017-02-14_163097,P.glauca,1
2017-02-16_163097,P.glauca,1
2017-02-18_163097,P.glauca,5
2017-02-20_163097,P.glauca,3
2017-02-21_163097,P.glauca,3
2017-03-01_106754,P.glauca,4
2017-03-02_106754,P.glauca,4
2017-03-03_106754,P.glauca,4
2017-03-04_106754,P.glauca,4
2017-03-05_106754,P.glauca,4
2017-03-06_106754,P.glauca,4
2017-03-08_106754,P.glauca,4
2017-03-10_106754,P.glauca,4
2017-03-11_106754,P.glauca,4
2017-03-12_106754,P.glauca,4
2017-03-14_106754,P.glauca,4
2017-03-15_106754,P.glauca,4
2017-03-17_106754,P.glauca,4
2017-03-19_106754,P.glauca,4
